Date,Year,Month Number,Month,Month Short,Year-Month,Week,Day Name,Day Number,Quarter,Is Weekend
2023-01-01,2023,1,January,Jan,2023-01,52,Sunday,1,Q1,True
2023-01-02,2023,1,January,Jan,2023-01,1,Monday,2,Q1,False
2023-01-03,2023,1,January,Jan,2023-01,1,Tuesday,3,Q1,False
2023-01-04,2023,1,January,Jan,2023-01,1,Wednesday,4,Q1,False
2023-01-05,2023,1,January,Jan,2023-01,1,Thursday,5,Q1,False
2023-01-06,2023,1,January,Jan,2023-01,1,Friday,6,Q1,False
2023-01-07,2023,1,January,Jan,2023-01,1,Saturday,7,Q1,True
2023-01-08,2023,1,January,Jan,2023-01,1,Sunday,8,Q1,True
2023-01-09,2023,1,January,Jan,2023-01,2,Monday,9,Q1,False
2023-01-10,2023,1,January,Jan,2023-01,2,Tuesday,10,Q1,False
2023-01-11,2023,1,January,Jan,2023-01,2,Wednesday,11,Q1,False
2023-01-12,2023,1,January,Jan,2023-01,2,Thursday,12,Q1,False
2023-01-13,2023,1,January,Jan,2023-01,2,Friday,13,Q1,False
2023-01-14,2023,1,January,Jan,2023-01,2,Saturday,14,Q1,True
2023-01-15,2023,1,January,Jan,2023-01,2,Sunday,15,Q1,True
2023-01-16,2023,1,January,Jan,2023-01,3,Monday,16,Q1,False
2023-01-17,2023,1,January,Jan,2023-01,3,Tuesday,17,Q1,False
2023-01-18,2023,1,January,Jan,2023-01,3,Wednesday,18,Q1,False
2023-01-19,2023,1,January,Jan,2023-01,3,Thursday,19,Q1,False
2023-01-20,2023,1,January,Jan,2023-01,3,Friday,20,Q1,False
2023-01-21,2023,1,January,Jan,2023-01,3,Saturday,21,Q1,True
2023-01-22,2023,1,January,Jan,2023-01,3,Sunday,22,Q1,True
2023-01-23,2023,1,January,Jan,2023-01,4,Monday,23,Q1,False
2023-01-24,2023,1,January,Jan,2023-01,4,Tuesday,24,Q1,False
2023-01-25,2023,1,January,Jan,2023-01,4,Wednesday,25,Q1,False
2023-01-26,2023,1,January,Jan,2023-01,4,Thursday,26,Q1,False
2023-01-27,2023,1,January,Jan,2023-01,4,Friday,27,Q1,False
2023-01-28,2023,1,January,Jan,2023-01,4,Saturday,28,Q1,True
2023-01-29,2023,1,January,Jan,2023-01,4,Sunday,29,Q1,True
2023-01-30,2023,1,January,Jan,2023-01,5,Monday,30,Q1,False
2023-01-31,2023,1,January,Jan,2023-01,5,Tuesday,31,Q1,False
2023-02-01,2023,2,February,Feb,2023-02,5,Wednesday,1,Q1,False
2023-02-02,2023,2,February,Feb,2023-02,5,Thursday,2,Q1,False
2023-02-03,2023,2,February,Feb,2023-02,5,Friday,3,Q1,False
2023-02-04,2023,2,February,Feb,2023-02,5,Saturday,4,Q1,True
2023-02-05,2023,2,February,Feb,2023-02,5,Sunday,5,Q1,True
2023-02-06,2023,2,February,Feb,2023-02,6,Monday,6,Q1,False
2023-02-07,2023,2,February,Feb,2023-02,6,Tuesday,7,Q1,False
2023-02-08,2023,2,February,Feb,2023-02,6,Wednesday,8,Q1,False
2023-02-09,2023,2,February,Feb,2023-02,6,Thursday,9,Q1,False
2023-02-10,2023,2,February,Feb,2023-02,6,Friday,10,Q1,False
2023-02-11,2023,2,February,Feb,2023-02,6,Saturday,11,Q1,True
2023-02-12,2023,2,February,Feb,2023-02,6,Sunday,12,Q1,True
2023-02-13,2023,2,February,Feb,2023-02,7,Monday,13,Q1,False
2023-02-14,2023,2,February,Feb,2023-02,7,Tuesday,14,Q1,False
2023-02-15,2023,2,February,Feb,2023-02,7,Wednesday,15,Q1,False
2023-02-16,2023,2,February,Feb,2023-02,7,Thursday,16,Q1,False
2023-02-17,2023,2,February,Feb,2023-02,7,Friday,17,Q1,False
2023-02-18,2023,2,February,Feb,2023-02,7,Saturday,18,Q1,True
2023-02-19,2023,2,February,Feb,2023-02,7,Sunday,19,Q1,True
2023-02-20,2023,2,February,Feb,2023-02,8,Monday,20,Q1,False
2023-02-21,2023,2,February,Feb,2023-02,8,Tuesday,21,Q1,False
2023-02-22,2023,2,February,Feb,2023-02,8,Wednesday,22,Q1,False
2023-02-23,2023,2,February,Feb,2023-02,8,Thursday,23,Q1,False
2023-02-24,2023,2,February,Feb,2023-02,8,Friday,24,Q1,False
2023-02-25,2023,2,February,Feb,2023-02,8,Saturday,25,Q1,True
2023-02-26,2023,2,February,Feb,2023-02,8,Sunday,26,Q1,True
2023-02-27,2023,2,February,Feb,2023-02,9,Monday,27,Q1,False
2023-02-28,2023,2,February,Feb,2023-02,9,Tuesday,28,Q1,False
2023-03-01,2023,3,March,Mar,2023-03,9,Wednesday,1,Q1,False
2023-03-02,2023,3,March,Mar,2023-03,9,Thursday,2,Q1,False
2023-03-03,2023,3,March,Mar,2023-03,9,Friday,3,Q1,False
2023-03-04,2023,3,March,Mar,2023-03,9,Saturday,4,Q1,True
2023-03-05,2023,3,March,Mar,2023-03,9,Sunday,5,Q1,True
2023-03-06,2023,3,March,Mar,2023-03,10,Monday,6,Q1,False
2023-03-07,2023,3,March,Mar,2023-03,10,Tuesday,7,Q1,False
2023-03-08,2023,3,March,Mar,2023-03,10,Wednesday,8,Q1,False
2023-03-09,2023,3,March,Mar,2023-03,10,Thursday,9,Q1,False
2023-03-10,2023,3,March,Mar,2023-03,10,Friday,10,Q1,False
2023-03-11,2023,3,March,Mar,2023-03,10,Saturday,11,Q1,True
2023-03-12,2023,3,March,Mar,2023-03,10,Sunday,12,Q1,True
2023-03-13,2023,3,March,Mar,2023-03,11,Monday,13,Q1,False
2023-03-14,2023,3,March,Mar,2023-03,11,Tuesday,14,Q1,False
2023-03-15,2023,3,March,Mar,2023-03,11,Wednesday,15,Q1,False
2023-03-16,2023,3,March,Mar,2023-03,11,Thursday,16,Q1,False
2023-03-17,2023,3,March,Mar,2023-03,11,Friday,17,Q1,False
2023-03-18,2023,3,March,Mar,2023-03,11,Saturday,18,Q1,True
